FID,Entity,GRID_ID,longitude,latitude
350,LWPolyline,"5,48",72.83015618,33.75810051
351,LWPolyline,"5,47",72.83018907,33.75810011
352,LWPolyline,"5,46",72.83022196,33.7580997
353,LWPolyline,"5,45",72.83025486,33.7580993
354,LWPolyline,"5,44",72.83028775,33.75809889
355,LWPolyline,"5,43",72.83032064,33.75809848
356,LWPolyline,"5,42",72.83035353,33.75809808
357,LWPolyline,"5,41",72.83038643,33.75809767
358,LWPolyline,"5,40",72.83041932,33.75809726
359,LWPolyline,"5,39",72.83045221,33.75809686
360,LWPolyline,"5,38",72.8304851,33.75809645
361,LWPolyline,"5,37",72.830518,33.75809605
362,LWPolyline,"5,36",72.83055089,33.75809564
363,LWPolyline,"5,35",72.83058378,33.75809523
364,LWPolyline,"5,34",72.83061668,33.75809483
365,LWPolyline,"6,106",72.82824791,33.75809658
366,LWPolyline,"6,105",72.82828081,33.75809618
367,LWPolyline,"6,104",72.8283137,33.75809577
368,LWPolyline,"6,103",72.82834659,33.75809536
369,LWPolyline,"6,102",72.82837948,33.75809496
370,LWPolyline,"6,101",72.82841238,33.75809455
371,LWPolyline,"6,100",72.82844527,33.75809415
372,LWPolyline,"6,99",72.82847816,33.75809374
373,LWPolyline,"6,98",72.82851106,33.75809334
374,LWPolyline,"6,97",72.82854395,33.75809293
375,LWPolyline,"6,96",72.82857684,33.75809252
376,LWPolyline,"6,95",72.82860973,33.75809212
377,LWPolyline,"6,94",72.82864263,33.75809171
378,LWPolyline,"6,93",72.82867552,33.75809131
379,LWPolyline,"6,92",72.82870841,33.7580909
380,LWPolyline,"6,91",72.8287413,33.7580905
381,LWPolyline,"6,90",72.8287742,33.75809009
382,LWPolyline,"6,89",72.82880709,33.75808968
383,LWPolyline,"6,88",72.82883998,33.75808928
384,LWPolyline,"6,87",72.82887287,33.75808887
385,LWPolyline,"6,86",72.82890577,33.75808847
386,LWPolyline,"6,85",72.82893866,33.75808806
387,LWPolyline,"6,84",72.82897155,33.75808766
388,LWPolyline,"6,83",72.82900445,33.75808725
389,LWPolyline,"6,82",72.82903734,33.75808684
390,LWPolyline,"6,81",72.82907023,33.75808644
391,LWPolyline,"6,80",72.82910312,33.75808603
392,LWPolyline,"6,79",72.82913602,33.75808563
393,LWPolyline,"6,78",72.82916891,33.75808522
394,LWPolyline,"6,77",72.8292018,33.75808481
395,LWPolyline,"6,76",72.82923469,33.75808441
396,LWPolyline,"6,75",72.82926759,33.758084
397,LWPolyline,"6,74",72.82930048,33.7580836
398,LWPolyline,"6,73",72.82933337,33.75808319
399,LWPolyline,"6,72",72.82936627,33.75808278
400,LWPolyline,"6,71",72.82939916,33.75808238
401,LWPolyline,"6,70",72.82943205,33.75808197
402,LWPolyline,"6,69",72.82946494,33.75808157
403,LWPolyline,"6,68",72.82949784,33.75808116
404,LWPolyline,"6,67",72.82953073,33.75808075
405,LWPolyline,"6,66",72.82956362,33.75808035
